    time           T_x           T_y           T_z      
 0.0050000000 -0.0035946919 -7.0662581773 -0.0008224186 
 0.0132500000 -0.0036503125  4.3662292518 -0.0008224675 
 0.0270000000 -0.0037561428  0.0125851011 -0.0008224248 
 0.0421250000 -0.0033152494 -0.0048263047 -0.0008224736 
 0.0587625000 -0.0034259464 -0.0035948480 -0.0008225383 
 0.0770637500 -0.0033008909 -0.0032551554 -0.0008225976 
 0.0971951250 -0.0032118245 -0.0031653246 -0.0008226391 
 0.1193396375 -0.0031254946 -0.0031203006 -0.0008226605 
 0.1430949299 -0.0030391654 -0.0031130534 -0.0008226664 
 0.1668936791 -0.0029552770 -0.0031359006 -0.0008226644 
 0.1907331016 -0.0028736029 -0.0031812337 -0.0008226592 
 0.2146100094 -0.0028114418 -0.0032503757 -0.0008226385 
 0.2385212631 -0.0027229795 -0.0033294531 -0.0008226200 
 0.2624644204 -0.0026226922 -0.0033968279 -0.0008226053 
 0.2864369534 -0.0025694054 -0.0035102303 -0.0008225954 
 0.3104366812 -0.0024622107 -0.0035893961 -0.0008225887 
 0.3344616874 -0.0023972554 -0.0037058232 -0.0008225843 
 0.3585099925 -0.0022986413 -0.0038013320 -0.0008225814 
 0.3825801449 -0.0022230436 -0.0039184809 -0.0008225793 
 0.4066704708 -0.0021287385 -0.0040246405 -0.0008225779 
 0.4307797303 -0.0020451690 -0.0041422155 -0.0008225770 
 0.4549066051 -0.0019517146 -0.0042546261 -0.0008225765 
 0.4790499819 -0.0018622570 -0.0043725383 -0.0008225765 
 0.5032089234 -0.0017673711 -0.0044880928 -0.0008225768 
 0.5273823231 -0.0016731675 -0.0046059834 -0.0008225776 
 0.5515694961 -0.0015756136 -0.0047226681 -0.0008225788 
 0.5757694405 -0.0014772131 -0.0048400233 -0.0008225803 
 0.5999815709 -0.0013763896 -0.0049565378 -0.0008225822 
 0.6242051562 -0.0012740437 -0.0050728177 -0.0008225845 
 0.6484395642 -0.0011696795 -0.0051882832 -0.0008225871 
 0.6726842623 -0.0010635107 -0.0053029883 -0.0008225900 
 0.6969385892 -0.0009555022 -0.0054167741 -0.0008225933 
 0.7212021895 -0.0008455874 -0.0055294678 -0.0008225968 
 0.7454744383 -0.0007339155 -0.0056410958 -0.0008226006 
 0.7697549911 -0.0006203185 -0.0057514031 -0.0008226047 
 0.7940433769 -0.0005050105 -0.0058604945 -0.0008226090 
 0.8183392037 -0.0003877976 -0.0059680952 -0.0008226135 
 0.8426421792 -0.0002689066 -0.0060743388 -0.0008226183 
 0.8669518161 -0.0001481504 -0.0061789581 -0.0008226233 
 0.8912679194 -0.0000257464 -0.0062820911 -0.0008226285 
 0.9155881332  0.0000984771 -0.0063834707 -0.0008226340 
 0.9399121090  0.0002242910 -0.0064832511 -0.0008226396 
 0.9642396172  0.0003518486 -0.0065812039 -0.0008226455 
 0.9885704566  0.0004809838 -0.0066774358 -0.0008226516 
 1.0129045167  0.0006118003 -0.0067717643 -0.0008226578 
 1.0372415242  0.0007441558 -0.0068642798 -0.0008226643 
 1.0615813844  0.0008781318 -0.0069548216 -0.0008226709 
 1.0859239029  0.0010136027 -0.0070434696 -0.0008226778 
 1.1102689345  0.0011506339 -0.0071300788 -0.0008226848 
 1.1346163940  0.0012891118 -0.0072147223 -0.0008226921 
 1.1589660639  0.0014290891 -0.0072972676 -0.0008226995 
 1.1833178842  0.0015704622 -0.0073777811 -0.0008227071 
 1.2076716801  0.0017132712 -0.0074561443 -0.0008227150 
 1.2320273487  0.0018574239 -0.0075324133 -0.0008227230 
 1.2563848195  0.0020029473 -0.0076064857 -0.0008227312 
 1.2807439158  0.0021497607 -0.0076784063 -0.0008227397 
 1.3051046017  0.0022978786 -0.0077480870 -0.0008227483 
 1.3294667149  0.0024472296 -0.0078155647 -0.0008227571 
 1.3538301859  0.0025978196 -0.0078807608 -0.0008227662 
 1.3781949527  0.0027495825 -0.0079437089 -0.0008227754 
 1.4025608683  0.0029025195 -0.0080043355 -0.0008227849 
 1.4269279141  0.0030565674 -0.0080626725 -0.0008227945 
 1.4512959371  0.0032117228 -0.0081186527 -0.0008228044 
 1.4756648926  0.0033679266 -0.0081723037 -0.0008228145 
 1.5000347266  0.0035251696 -0.0082235674 -0.0008228248 
 1.5244053129  0.0036833986 -0.0082724634 -0.0008228353 
 1.5487766456  0.0038425976 -0.0083189446 -0.0008228461 
 1.5731485837  0.0040027181 -0.0083630245 -0.0008228571 
 1.5975210961  0.0041637398 -0.0084046622 -0.0008228682 
 1.6218941396  0.0043256166 -0.0084438704 -0.0008228797 
 1.6462675999  0.0044883266 -0.0084806096 -0.0008228913 
 1.6706414801  0.0046518240 -0.0085148939 -0.0008229032 
 1.6950156539  0.0048160855 -0.0085466863 -0.0008229153 
 1.7193898899  0.0049810664 -0.0085759964 -0.0008229276 
 1.7437641654  0.0051467385 -0.0086027993 -0.0008229402 
 1.7681384443  0.0053130619 -0.0086270985 -0.0008229530 
 1.7925127270  0.0054800079 -0.0086488706 -0.0008229660 
 1.8168870057  0.0056475370 -0.0086681205 -0.0008229793 
 1.8412612543  0.0058156190 -0.0086848274 -0.0008229928 
 1.8656354765  0.0059842151 -0.0086989957 -0.0008230066 
 1.8900096464  0.0061532941 -0.0087106077 -0.0008230206 
 1.9143837579  0.0063228182 -0.0087196663 -0.0008230348 
 1.9387578130  0.0064927550 -0.0087261581 -0.0008230493 
 1.9631317792  0.0066630677 -0.0087300831 -0.0008230640 
 1.9875056614  0.0068337226 -0.0087314329 -0.0008230790 
 2.0118794446  0.0070046839 -0.0087302057 -0.0008230943 
 2.0362529014  0.0071759164 -0.0087263931 -0.0008231098 
 2.0606259950  0.0073473828 -0.0087199986 -0.0008231255 
 2.0849986519  0.0075190491 -0.0087110159 -0.0008231415 
 2.1093708790  0.0076908797 -0.0086994431 -0.0008231577 
 2.1337426237  0.0078628396 -0.0086852794 -0.0008231743 
 2.1581138467  0.0080348938 -0.0086685208 -0.0008231910 
 2.1824845442  0.0082070067 -0.0086491721 -0.0008232080 
 2.2068546371  0.0083791438 -0.0086272250 -0.0008232253 
 2.2312241192  0.0085512690 -0.0086026897 -0.0008232429 
 2.2555929895  0.0087233487 -0.0085755572 -0.0008232607 
 2.2799611655  0.0088953468 -0.0085458370 -0.0008232787 
 2.3043286492  0.0090672290 -0.0085135232 -0.0008232971 
 2.3286954169  0.0092389601 -0.0084786273 -0.0008233156 
 2.3530614132  0.0094105058 -0.0084411398 -0.0008233345 
 2.3774266481  0.0095818309 -0.0084010787 -0.0008233536 
 2.4017910789  0.0097529013 -0.0083584312 -0.0008233730 
 2.4261546673  0.0099236821 -0.0083132180 -0.0008233927 
 2.4505174339  0.0100941393 -0.0082654277 -0.0008234126 
 2.4748793049  0.0102642385 -0.0082150804 -0.0008234328 
 2.4992402665  0.0104339450 -0.0081621658 -0.0008234533 
 2.5236003383  0.0106032259 -0.0081067084 -0.0008234740 
 2.5479594514  0.0107720457 -0.0080486921 -0.0008234950 
 2.5723175978  0.0109403722 -0.0079881482 -0.0008235163 
 2.5966747853  0.0111081702 -0.0079250595 -0.0008235378 
 2.6210309474  0.0112754077 -0.0078594568 -0.0008235596 
 2.6453860925  0.0114420492 -0.0077913251 -0.0008235817 
 2.6697402217  0.0116080644 -0.0077206977 -0.0008236041 
 2.6940932701  0.0117734164 -0.0076475554 -0.0008236268 
 2.7184452546  0.0119380766 -0.0075719385 -0.0008236497 
 2.7427961647  0.0121020076 -0.0074938245 -0.0008236729 
 2.7671459383  0.0122651813 -0.0074132549 -0.0008236964 
 2.7914946035  0.0124275604 -0.0073302100 -0.0008237201 
 2.8158421484  0.0125891185 -0.0072447316 -0.0008237442 
 2.8401885123  0.0127498161 -0.0071567969 -0.0008237685 
 2.8645337262  0.0129096298 -0.0070664554 -0.0008237931 
 2.8888777719  0.0130685187 -0.0069736794 -0.0008238179 
 2.9132205906  0.0132264605 -0.0068785209 -0.0008238431 
 2.9375622198  0.0133834144 -0.0067809544 -0.0008238685 
 2.9619026440  0.0135393596 -0.0066810317 -0.0008238943 
 2.9862418062  0.0136942530 -0.0065787250 -0.0008239203 
 3.0105797417  0.0138480777 -0.0064740936 -0.0008239466 
 3.0349164335  0.0140007883 -0.0063671042 -0.0008239731 
 3.0592518258  0.0141523696 -0.0062578190 -0.0008240000 
 3.0835859555  0.0143027759 -0.0061462066 -0.0008240271 
 3.1079188133  0.0144519942 -0.0060323294 -0.0008240546 
 3.1322503460  0.0145999758 -0.0059161533 -0.0008240823 
 3.1565805828  0.0147467122 -0.0057977480 -0.0008241103 
 3.1809095183  0.0148921522 -0.0056770743 -0.0008241386 
 3.2052371004  0.0150362892 -0.0055542045 -0.0008241672 
 3.2295633546  0.0151790713 -0.0054291011 -0.0008241960 
 3.2538882881  0.0153204951 -0.0053018372 -0.0008242252 
 3.2782118513  0.0154605046 -0.0051723718 -0.0008242547 
 3.3025340561  0.0155991017 -0.0050407850 -0.0008242844 
 3.3268549190  0.0157362276 -0.0049070323 -0.0008243144 
 3.3511743918  0.0158718865 -0.0047711950 -0.0008243448 
 3.3754924769  0.0160060182 -0.0046332295 -0.0008243754 
 3.3998092093  0.0161386312 -0.0044932202 -0.0008244063 
 3.4241245433  0.0162696604 -0.0043511183 -0.0008244375 
 3.4484384619  0.0163991195 -0.0042070145 -0.0008244690 
 3.4727510149  0.0165269416 -0.0040608588 -0.0008245008 
 3.4970621572  0.0166531425 -0.0039127412 -0.0008245329 
 3.5213718572  0.0167776523 -0.0037626122 -0.0008245653 
 3.5456801658  0.0169004935 -0.0036105670 -0.0008245980 
 3.5699870673  0.0170215903 -0.0034565499 -0.0008246310 
 3.5942925191  0.0171409699 -0.0033006602 -0.0008246642 
 3.6185965547  0.0172585550 -0.0031428436 -0.0008246978 
 3.6428991774  0.0173743763 -0.0029831991 -0.0008247317 
 3.6672003459  0.0174883516 -0.0028216701 -0.0008247659 
 3.6915000741  0.0176005188 -0.0026583614 -0.0008248004 
 3.7157983944  0.0177107911 -0.0024932134 -0.0008248352 
 3.7400952680  0.0178192102 -0.0023263314 -0.0008248703 
 3.7643906782  0.0179256864 -0.0021576570 -0.0008249056 
 3.7886846797  0.0180302681 -0.0019872984 -0.0008249413 
 3.8129772364  0.0181328585 -0.0018151927 -0.0008249773 
 3.8372678097  0.0182335054 -0.0016414497 -0.0008250136 
 3.8615561846  0.0183321176 -0.0014660201 -0.0008250503 
 3.8858423209  0.0184287509 -0.0012890118 -0.0008250872 
 3.9101262146  0.0185233008 -0.0011103616 -0.0008251244 
 3.9344079260  0.0186158334 -0.0009301834 -0.0008251619 
 3.9586873947  0.0187062381 -0.0007484123 -0.0008251997 
 3.9829646086  0.0187945883 -0.0005651659 -0.0008252379 
