    time           T_x           T_y           T_z      
 0.0050000000 -0.0035876442 -7.0621259654 -0.0008224599 
 0.0132500000 -0.0037638870  4.3555899383 -0.0008224345 
 0.0270000000 -0.0034893371  0.0186543242 -0.0008225800 
 0.0421250000 -0.0035835527 -0.0059799111 -0.0008226629 
 0.0578523408 -0.0033814006 -0.0037552859 -0.0008227020 
 0.0736189275 -0.0033105456 -0.0033882689 -0.0008227097 
 0.0894202109 -0.0032471607 -0.0032946433 -0.0008227076 
 0.1052526956 -0.0031745535 -0.0032373330 -0.0008227008 
 0.1211133217 -0.0031123764 -0.0032057267 -0.0008226926 
 0.1369995755 -0.0030505833 -0.0031922438 -0.0008226837 
 0.1529093330 -0.0029920294 -0.0031939129 -0.0008226746 
 0.1688406232 -0.0029347860 -0.0032074653 -0.0008226654 
 0.1847916909 -0.0028788456 -0.0032309050 -0.0008226564 
 0.2007610460 -0.0028237262 -0.0032625479 -0.0008226477 
 0.2167474006 -0.0027691923 -0.0033011131 -0.0008226395 
 0.2327495489 -0.0027150079 -0.0033455530 -0.0008226317 
 0.2487664042 -0.0026609852 -0.0033950105 -0.0008226244 
 0.2647970218 -0.0026069662 -0.0034487710 -0.0008226177 
 0.2808404789 -0.0025528218 -0.0035062340 -0.0008226115 
 0.2968959729 -0.0024984424 -0.0035668896 -0.0008226059 
 0.3129627350 -0.0024437369 -0.0036303013 -0.0008226007 
 0.3290401537 -0.0023886257 -0.0036960921 -0.0008225959 
 0.3451276215 -0.0023330432 -0.0037639353 -0.0008225916 
 0.3612245538 -0.0022769320 -0.0038335450 -0.0008225876 
 0.3773304461 -0.0022202432 -0.0039046707 -0.0008225840 
 0.3934447951 -0.0021629361 -0.0039770925 -0.0008225808 
 0.4095671711 -0.0021049746 -0.0040506156 -0.0008225778 
 0.4256971231 -0.0020463292 -0.0041250674 -0.0008225752 
 0.4418343131 -0.0019869722 -0.0042002934 -0.0008225729 
 0.4579783993 -0.0019268824 -0.0042761564 -0.0008225709 
 0.4741290287 -0.0018660404 -0.0043525325 -0.0008225691 
 0.4902859068 -0.0018044296 -0.0044293099 -0.0008225675 
 0.5064487261 -0.0017420369 -0.0045063886 -0.0008225663 
 0.5226172306 -0.0016788503 -0.0045836771 -0.0008225652 
 0.5387911328 -0.0016148610 -0.0046610931 -0.0008225644 
 0.5549702226 -0.0015500601 -0.0047385607 -0.0008225638 
 0.5711542951 -0.0014844419 -0.0048160117 -0.0008225634 
 0.5873431196 -0.0014180015 -0.0048933831 -0.0008225633 
 0.6035365133 -0.0013507346 -0.0049706166 -0.0008225633 
 0.6197342690 -0.0012826392 -0.0050476595 -0.0008225635 
 0.6359362203 -0.0012137128 -0.0051244623 -0.0008225639 
 0.6521421725 -0.0011439555 -0.0052009798 -0.0008225645 
 0.6683519774 -0.0010733663 -0.0052771695 -0.0008225653 
 0.6845655090 -0.0010019461 -0.0053529926 -0.0008225663 
 0.7007826029 -0.0009296967 -0.0054284128 -0.0008225674 
 0.7170031389 -0.0008566192 -0.0055033955 -0.0008225687 
 0.7332269688 -0.0007827167 -0.0055779094 -0.0008225701 
 0.7494539732 -0.0007079917 -0.0056519241 -0.0008225717 
 0.7656840234 -0.0006324479 -0.0057254118 -0.0008225734 
 0.7819169979 -0.0005560889 -0.0057983460 -0.0008225753 
 0.7981528195 -0.0004789185 -0.0058707016 -0.0008225773 
 0.8143913687 -0.0004009420 -0.0059424556 -0.0008225795 
 0.8306325532 -0.0003221636 -0.0060135852 -0.0008225818 
 0.8468762777 -0.0002425887 -0.0060840695 -0.0008225842 
 0.8631224398 -0.0001622228 -0.0061538883 -0.0008225868 
 0.8793709532 -0.0000810716 -0.0062230224 -0.0008225895 
 0.8956217171  0.0000008588 -0.0062914537 -0.0008225923 
 0.9118746801  0.0000835626 -0.0063591645 -0.0008225953 
 0.9281297538  0.0001670328 -0.0064261388 -0.0008225983 
 0.9443868588  0.0002575194 -0.0064840946 -0.0008226020 
 0.9606458826  0.0003287945 -0.0065673588 -0.0008226054 
 0.9769068455  0.0004282495 -0.0066138840 -0.0008226093 
 0.9931696381  0.0005032330 -0.0066930761 -0.0008226128 
 1.0094341588  0.0006008206 -0.0067419865 -0.0008226168 
 1.0257003735  0.0006784597 -0.0068184381 -0.0008226204 
 1.0419682385  0.0007773619 -0.0068652946 -0.0008226245 
 1.0582376673  0.0008565156 -0.0069405094 -0.0008226284 
 1.0745086226  0.0009564944 -0.0069855787 -0.0008226326 
 1.0907810267  0.0010374803 -0.0070589822 -0.0008226367 
 1.1070548558  0.0011384320 -0.0071023372 -0.0008226411 
 1.1233300207  0.0012211434 -0.0071739879 -0.0008226453 
 1.1396064863  0.0013230741 -0.0072155369 -0.0008226499 
 1.1558842301  0.0014074800 -0.0072853766 -0.0008226544 
 1.1721631660  0.0015103536 -0.0073250969 -0.0008226592 
 1.1884432528  0.0015964128 -0.0073930852 -0.0008226638 
 1.2047244798  0.0017002021 -0.0074309397 -0.0008226687 
 1.2210067757  0.0017903857 -0.0074924278 -0.0008226738 
 1.2372900995  0.0018861149 -0.0075448203 -0.0008226790 
 1.2535743995  0.0019885080 -0.0075841171 -0.0008226842 
 1.2698596690  0.0020830697 -0.0076390548 -0.0008226895 
 1.2861458395  0.0021806307 -0.0076884143 -0.0008226949 
 1.3024328836  0.0022814249 -0.0077311331 -0.0008227004 
 1.3187207623  0.0023803956 -0.0077778674 -0.0008227060 
 1.3350093968  0.0024798482 -0.0078238737 -0.0008227117 
 1.3512981926  0.0025809625 -0.0078663679 -0.0008227174 
 1.3675871476  0.0026821389 -0.0079088852 -0.0008227232 
 1.3838762474  0.0027835484 -0.0079510979 -0.0008227292 
 1.4001654860  0.0028858289 -0.0079914404 -0.0008227352 
 1.4164548539  0.0029885874 -0.0080308034 -0.0008227414 
 1.4327443474  0.0030916949 -0.0080695083 -0.0008227476 
 1.4490339604  0.0031953724 -0.0081069619 -0.0008227539 
 1.4653236756  0.0032995575 -0.0081432809 -0.0008227603 
 1.4816134905  0.0034041600 -0.0081786838 -0.0008227668 
 1.4979034007  0.0035092310 -0.0082130008 -0.0008227735 
 1.5141933934  0.0036147687 -0.0082461981 -0.0008227802 
 1.5304834665  0.0037207318 -0.0082783635 -0.0008227870 
 1.5467736132  0.0038271213 -0.0083094621 -0.0008227939 
 1.5630638280  0.0039339360 -0.0083394595 -0.0008228009 
 1.5793541059  0.0040411570 -0.0083683802 -0.0008228081 
 1.5956444337  0.0041487742 -0.0083962206 -0.0008228153 
 1.6119348114  0.0042567814 -0.0084229624 -0.0008228226 
 1.6282252306  0.0043651667 -0.0084486083 -0.0008228300 
 1.6445156850  0.0044739188 -0.0084731580 -0.0008228376 
 1.6608061718  0.0045830290 -0.0084966030 -0.0008228452 
 1.6770966851  0.0046924866 -0.0085189405 -0.0008228530 
 1.6933872215  0.0048022811 -0.0085401689 -0.0008228608 
 1.7096777726  0.0049124023 -0.0085602839 -0.0008228688 
 1.7259683317  0.0050228401 -0.0085792818 -0.0008228768 
 1.7422588993  0.0051335840 -0.0085971603 -0.0008228850 
 1.7585494630  0.0052446235 -0.0086139165 -0.0008228932 
 1.7748400227  0.0053559485 -0.0086295470 -0.0008229016 
 1.7911305748  0.0054675485 -0.0086440495 -0.0008229101 
 1.8074211134  0.0055794131 -0.0086574215 -0.0008229187 
 1.8237116371  0.0056915320 -0.0086696603 -0.0008229274 
 1.8400021376  0.0058038946 -0.0086807638 -0.0008229362 
 1.8562926107  0.0059164904 -0.0086907295 -0.0008229451 
 1.8725830559  0.0060293092 -0.0086995555 -0.0008229541 
 1.8888734623  0.0061423404 -0.0087072397 -0.0008229632 
 1.9051638318  0.0062555735 -0.0087137802 -0.0008229725 
 1.9214541599  0.0063689981 -0.0087191753 -0.0008229818 
 1.9377444413  0.0064826037 -0.0087234231 -0.0008229913 
 1.9540346751  0.0065963797 -0.0087265222 -0.0008230008 
 1.9703248537  0.0067103158 -0.0087284712 -0.0008230105 
 1.9866149751  0.0068244014 -0.0087292685 -0.0008230203 
 2.0029050361  0.0069386259 -0.0087289130 -0.0008230302 
 2.0191950298  0.0070529790 -0.0087274035 -0.0008230402 
 2.0354849579  0.0071674500 -0.0087247389 -0.0008230503 
 2.0517748156  0.0072820286 -0.0087209184 -0.0008230605 
 2.0680645984  0.0073967041 -0.0087159409 -0.0008230709 
 2.0843543064  0.0075114662 -0.0087098058 -0.0008230813 
 2.1006439335  0.0076263042 -0.0087025126 -0.0008230919 
 2.1169334774  0.0077412078 -0.0086940604 -0.0008231026 
 2.1332229345  0.0078561663 -0.0086844491 -0.0008231134 
 2.1495123000  0.0079711694 -0.0086736781 -0.0008231243 
 2.1658015753  0.0080862065 -0.0086617472 -0.0008231353 
 2.1820907559  0.0082012672 -0.0086486563 -0.0008231464 
 2.1983798371  0.0083163410 -0.0086344053 -0.0008231577 
 2.2146688200  0.0084314175 -0.0086189942 -0.0008231690 
 2.2309577003  0.0085464862 -0.0086024232 -0.0008231805 
 2.2472464745  0.0086615367 -0.0085846925 -0.0008231921 
 2.2635351390  0.0087765585 -0.0085658025 -0.0008232038 
 2.2798236911  0.0088915413 -0.0085457534 -0.0008232156 
 2.2961121311  0.0090064746 -0.0085245459 -0.0008232275 
 2.3124004569  0.0091213480 -0.0085021805 -0.0008232396 
 2.3286886621  0.0092361513 -0.0084786579 -0.0008232518 
 2.3449767479  0.0093508739 -0.0084539790 -0.0008232641 
 2.3612647137  0.0094655057 -0.0084281445 -0.0008232765 
 2.3775525539  0.0095800361 -0.0084011555 -0.0008232890 
 2.3938402659  0.0096944551 -0.0083730130 -0.0008233016 
 2.4101278481  0.0098087521 -0.0083437181 -0.0008233144 
 2.4264152986  0.0099229170 -0.0083132721 -0.0008233273 
 2.4427026193  0.0100369396 -0.0082816763 -0.0008233403 
 2.4589898010  0.0101508095 -0.0082489323 -0.0008233534 
 2.4752768445  0.0102645166 -0.0082150412 -0.0008233666 
 2.4915637512  0.0103780506 -0.0081800050 -0.0008233800 
 2.5078505174  0.0104914014 -0.0081438251 -0.0008233934 
 2.5241371398  0.0106045589 -0.0081065034 -0.0008234070 
 2.5404236153  0.0107175129 -0.0080680417 -0.0008234207 
 2.5567099436  0.0108302533 -0.0080284420 -0.0008234346 
 2.5729961088  0.0109427699 -0.0079877064 -0.0008234485 
 2.5892817283  0.0110550506 -0.0079458399 -0.0008234626 
 2.6055667998  0.0111670841 -0.0079028399 -0.0008234768 
 2.6218513313  0.0112788614 -0.0078587124 -0.0008234911 
 2.6381353158  0.0113903724 -0.0078134594 -0.0008235055 
 2.6544187337  0.0115016070 -0.0077670829 -0.0008235201 
 2.6707015744  0.0116125551 -0.0077195857 -0.0008235348 
 2.6869838454  0.0117232071 -0.0076709707 -0.0008235496 
 2.7032655389  0.0118335530 -0.0076212405 -0.0008235645 
 2.7195466456  0.0119435830 -0.0075703980 -0.0008235796 
 2.7358271421  0.0120532871 -0.0075184464 -0.0008235947 
 2.7521070380  0.0121626558 -0.0074653883 -0.0008236100 
 2.7683863335  0.0122716792 -0.0074112272 -0.0008236254 
 2.7846650216  0.0123803477 -0.0073559661 -0.0008236410 
 2.8009430837  0.0124886516 -0.0072996084 -0.0008236566 
 2.8172205143  0.0125965812 -0.0072421572 -0.0008236724 
 2.8334973209  0.0127041270 -0.0071836162 -0.0008236883 
 2.8497735015  0.0128112795 -0.0071239888 -0.0008237044 
 2.8660490330  0.0129180291 -0.0070632788 -0.0008237205 
 2.8823239032  0.0130243661 -0.0070014895 -0.0008237368 
 2.8985981262  0.0131302813 -0.0069386248 -0.0008237532 
 2.9148716980  0.0132357653 -0.0068746887 -0.0008237697 
 2.9311446125  0.0133408088 -0.0068096849 -0.0008237864 
 2.9474168506  0.0134454023 -0.0067436175 -0.0008238032 
 2.9636884118  0.0135495366 -0.0066764904 -0.0008238201 
 2.9799593037  0.0136532024 -0.0066083078 -0.0008238371 
 2.9962295262  0.0137563907 -0.0065390739 -0.0008238543 
 3.0124990531  0.0138590922 -0.0064687931 -0.0008238716 
 3.0287678753  0.0139612977 -0.0063974695 -0.0008238890 
 3.0450360084  0.0140629981 -0.0063251075 -0.0008239066 
 3.0613034495  0.0141641847 -0.0062517119 -0.0008239242 
 3.0775701946  0.0142648483 -0.0061772870 -0.0008239420 
 3.0938362240  0.0143649800 -0.0061018376 -0.0008239599 
 3.1101015365  0.0144645708 -0.0060253682 -0.0008239780 
 3.1263661438  0.0145636120 -0.0059478837 -0.0008239962 
 3.1426300429  0.0146620948 -0.0058693888 -0.0008240145 
 3.1588932145  0.0147600104 -0.0057898887 -0.0008240329 
 3.1751556445  0.0148573500 -0.0057093882 -0.0008240515 
 3.1914173476  0.0149541050 -0.0056278923 -0.0008240702 
 3.2076783259  0.0150502670 -0.0055454061 -0.0008240890 
 3.2239385786  0.0151458272 -0.0054619349 -0.0008241080 
 3.2401980843  0.0152407772 -0.0053774839 -0.0008241270 
 3.2564568395  0.0153351084 -0.0052920584 -0.0008241463 
 3.2727148592  0.0154288126 -0.0052056636 -0.0008241656 
 3.2889721375  0.0155218813 -0.0051183053 -0.0008241851 
 3.3052286710  0.0156143063 -0.0050299887 -0.0008242047 
 3.3214844324  0.0157060793 -0.0049407197 -0.0008242244 
 3.3377394323  0.0157971918 -0.0048505035 -0.0008242443 
 3.3539936831  0.0158876360 -0.0047593461 -0.0008242642 
 3.3702471835  0.0159774039 -0.0046672532 -0.0008242844 
 3.3864999189  0.0160664872 -0.0045742306 -0.0008243046 
 3.4027518767  0.0161548778 -0.0044802842 -0.0008243250 
 3.4190030662  0.0162425680 -0.0043854199 -0.0008243455 
 3.4352534948  0.0163295498 -0.0042896437 -0.0008243662 
 3.4515031662  0.0164158156 -0.0041929616 -0.0008243870 
 3.4677520486  0.0165013573 -0.0040953801 -0.0008244079 
 3.4840001389  0.0165861672 -0.0039969049 -0.0008244289 
 3.5002474552  0.0166702376 -0.0038975425 -0.0008244501 
 3.5164939982  0.0167535612 -0.0037972992 -0.0008244714 
 3.5327397693  0.0168361303 -0.0036961811 -0.0008244928 
 3.5489847474  0.0169179374 -0.0035941950 -0.0008245144 
 3.5652289311  0.0169989748 -0.0034913471 -0.0008245361 
