    time           T_x           T_y           T_z
 0.0050000000 -0.0037172410 -7.0708451417 -0.0008224717 
 0.0108083621 -0.0036771025  3.7740605710 -0.0008223132 
 0.0191598130 -0.0034971489  0.0054172438 -0.0008223652 
 0.0230538357 -0.0035628190 -0.0102046740 -0.0008223655 
 0.0269513784 -0.0034142402 -0.0041419749 -0.0008223953 
 0.0308519604 -0.0035858648 -0.0040132692 -0.0008224042 
 0.0347561384 -0.0033547386 -0.0043738568 -0.0008224570 
 0.0386640878 -0.0034375480 -0.0043399753 -0.0008225060 
 0.0425757867 -0.0034305894 -0.0040790042 -0.0008225387 
 0.0464912294 -0.0033976766 -0.0039192653 -0.0008225557 
 0.0504103285 -0.0033769951 -0.0038135854 -0.0008225620 
 0.0543329744 -0.0033607697 -0.0037130103 -0.0008225617 
 0.0582590184 -0.0033434487 -0.0036212478 -0.0008225569 
 0.0621883128 -0.0033262179 -0.0035432790 -0.0008225495 
 0.0661207350 -0.0033096881 -0.0034761236 -0.0008225406 
 0.0700561760 -0.0032934471 -0.0034168559 -0.0008225313 
 0.0739945200 -0.0032774007 -0.0033645991 -0.0008225221 
 0.0779356440 -0.0032616619 -0.0033189418 -0.0008225131 
 0.0818794238 -0.0032462155 -0.0032790960 -0.0008225044 
 0.0858257570 -0.0032309869 -0.0032441222 -0.0008224961 
 0.0897745487 -0.0032159494 -0.0032133391 -0.0008224885 
 0.0937257054 -0.0032010980 -0.0031863649 -0.0008224814 
 0.0976786797 -0.0031864577 -0.0031629511 -0.0008224749 
 0.1016333674 -0.0031719308 -0.0031426282 -0.0008224690 
 0.1055897467 -0.0031575388 -0.0031250659 -0.0008224635 
 0.1095477943 -0.0031432881 -0.0031099928 -0.0008224587 
 0.1135074845 -0.0031291625 -0.0030971987 -0.0008224544 
 0.1174687904 -0.0031151464 -0.0030865039 -0.0008224505 
 0.1214316851 -0.0031012296 -0.0030777252 -0.0008224471 
 0.1253961414 -0.0030874052 -0.0030706877 -0.0008224441 
 0.1293621261 -0.0030736676 -0.0030652468 -0.0008224414 
 0.1333296082 -0.0030600089 -0.0030612843 -0.0008224391 
 0.1372985605 -0.0030464210 -0.0030586939 -0.0008224372 
 0.1412687234 -0.0030329169 -0.0030573938 -0.0008224355 
 0.1452400117 -0.0030194566 -0.0030572506 -0.0008224341 
