x,p1_l4,p2_l2,p3_l1,p3_l2,p4_l1,p4_l2,p5_l1,DNS
0.0009,0.5518,0.519,0.473,0.5142,0.5518,0.5835,0.5585,0.4415
0.001,0.5518,0.519,0.473,0.5142,0.5518,0.5835,0.5584,0.4416
0.0011,0.5518,0.519,0.473,0.5142,0.5518,0.5835,0.5606,0.4416
0.0117,0.5517,0.5191,0.473,0.515,0.552,0.5835,0.5619,0.4481
0.0952,0.5509,0.5197,0.4735,0.5216,0.5533,0.5842,0.5715,0.4952
0.1294,0.5505,0.5199,0.4737,0.5242,0.5539,0.5847,0.5755,0.512
0.3433,0.5486,0.5215,0.4748,0.5402,0.557,0.5884,0.599,0.5781
0.9592,0.5467,0.5257,0.479,0.573,0.5617,0.5969,0.6499,0.5781
1.2513,0.5493,0.5271,0.4817,0.577,0.5606,0.5981,0.6629,0.5462
1.2728,0.5496,0.5271,0.4819,0.5769,0.5604,0.5981,0.6635,0.544
1.3784,0.5513,0.5273,0.4831,0.5757,0.5594,0.5978,0.6658,0.5343
1.404,0.5518,0.5274,0.4834,0.5752,0.5591,0.5977,0.6661,0.5324
1.4452,0.5527,0.5273,0.4839,0.5744,0.5586,0.5974,0.6665,0.5297
1.6092,0.5565,0.5263,0.4861,0.5696,0.5564,0.5957,0.6657,0.5255
1.6093,0.5565,0.5263,0.4861,0.5695,0.5564,0.5957,0.6657,0.5255
1.7036,0.5591,0.5248,0.4875,0.566,0.5551,0.5945,0.6635,0.5283
1.9287,0.5654,0.5259,0.4912,0.5565,0.552,0.5909,0.6525,0.545
2.328,0.5756,0.5343,0.4985,0.5405,0.5486,0.585,0.6177,0.5781
2.5662,0.5789,0.5397,0.503,0.5356,0.5494,0.5836,0.5916,0.5828
2.7387,0.5789,0.5435,0.506,0.5358,0.5522,0.5844,0.5721,0.5807
2.8034,0.5782,0.5449,0.5071,0.5367,0.5539,0.5853,0.5649,0.5796
2.807,0.5781,0.545,0.5071,0.5368,0.554,0.5853,0.5645,0.5795
3.0466,0.5715,0.5499,0.5108,0.5438,0.5637,0.5911,0.5399,0.5781
3.1577,0.567,0.552,0.5123,0.5487,0.5696,0.5949,0.5302,0.5804
3.1662,0.5666,0.5521,0.5124,0.5491,0.5701,0.5952,0.5295,0.5806
3.5038,0.5525,0.5575,0.516,0.569,0.5904,0.6097,0.5108,0.5948
3.7994,0.5475,0.5612,0.519,0.5899,0.6054,0.6231,0.5107,0.6044
3.8489,0.5479,0.5617,0.5195,0.5935,0.6073,0.6252,0.5121,0.6049
3.9351,0.5496,0.5626,0.5205,0.5999,0.6101,0.6286,0.5153,0.605
4.0046,0.5518,0.5633,0.5214,0.605,0.6119,0.6311,0.5187,0.6045
