x,DNS
0.159,0.212126
2.432,0.211932
4.808,0.211935
7.287,0.211545
9.767,0.211155
12.247,0.21037
14.727,0.209193
16.897,0.206636
18.655,0.203292
20.104,0.19916
21.242,0.194831
22.729,0.189449
24.243,0.184599
25.589,0.180467
26.831,0.176138
27.969,0.171808
29.522,0.166299
30.763,0.16197
32.315,0.158035
33.867,0.1541
35.522,0.150362
38.107,0.145247
40.071,0.142297
42.345,0.139937
44.515,0.138169
46.892,0.136597
49.372,0.135419
51.852,0.134832
54.435,0.134442
57.017,0.134445
59.6,0.134448
62.079,0.134648
64.662,0.134652
67.244,0.134655
69.827,0.134462
72.307,0.134268
74.782,0.134113
